country_code,year,unemployment_rate,internet_users,gdp_per_capita,tertiary_enrollment
TZA,2010,3.03,2.900000095,736.530151367188,2.13913621753427
TZA,2011,3.47,3.200000048,775.392761230469,
TZA,2012,3.223,3.950000048,861.969909667969,3.96461947161333
TZA,2013,2.93,4.400000095,963.05712890625,3.67337417645482
TZA,2014,2.125,7.0,1022.74841308594,
TZA,2015,2.009,10.0,939.127319335938,3.98361077132501
TZA,2016,1.931,13.5042328468919,953.0107421875,3.72893939925404
TZA,2017,1.854,14.46339989,986.674011230469,4.78205361153138
TZA,2018,1.792,15.49069977,1023.10626220703,4.27996511118124
TZA,2019,1.735,16.59090042,1063.32250976563,2.85588898826608
TZA,2020,1.792,19.48139954,1117.41528320313,7.18188265775187
TZA,2021,1.876,22.87540054,1159.85656738281,3.59164319762461
TZA,2022,1.573,26.86059952,1207.52062988281,5.32159018874409
TZA,2023,1.565,28.43190002,1224.00219726563,5.16887784940301
TZA,2024,1.557,31.16209984,1192.60668945313,4.01880979537964
TZA,2025,1.572,,1318.81921386719,
UGA,1960,,,55.3784976132181,
UGA,1961,,,56.1759278091596,
UGA,1962,,,55.5048704604887,
UGA,1963,,,61.9553768191835,
UGA,1964,,,68.6259930194368,
UGA,1965,,,99.9527652325075,
UGA,1966,,,101.435414620908,
UGA,1967,,,102.80034732844,
UGA,1968,,,106.851228104531,
UGA,1969,,,116.682296330854,
UGA,1970,,,122.030929585629,0.472330003976822
UGA,1971,,,133.468088316131,0.470660001039505
UGA,1972,,,136.964736487473,0.537869989871979
UGA,1973,,,152.709417587824,
UGA,1974,,,183.71757196626,0.541930019855499
UGA,1975,,,201.237292844799,0.51512998342514
UGA,1976,,,203.309813650809,0.471969991922378
UGA,1977,,,237.584889064205,0.563359975814819
UGA,1978,,,190.690145097606,0.592270016670227
UGA,1979,,,164.513012181127,0.522759974002838
UGA,1980,,,93.7506991135184,0.485639989376068
UGA,1981,,,98.6467550654109,0.535380005836487
UGA,1982,,,156.952422909331,0.583639979362488
UGA,1983,,,157.527216922525,
UGA,1984,,,247.516937638636,
UGA,1985,,,234.276502777526,0.735010027885437
UGA,1986,,,253.643058810817,0.775829970836639
UGA,1987,,,392.97074320479,0.847249984741211
UGA,1988,,,395.187660960924,0.921400010585785
UGA,1989,,,310.186025249445,0.924139976501465
UGA,1990,,0.0,244.987168126806,1.05559003353119
UGA,1991,3.448,,182.955897348348,1.23331999778748
UGA,1992,3.553,,152.113542415537,1.20323002338409
UGA,1993,3.487,,165.616476211716,1.30781996250153
UGA,1994,3.458,,198.441987998795,1.45316004753113
UGA,1995,3.193,0.00286,278.520835668767,1.5566600561142
UGA,1996,3.169,0.00463,284.698259285733,1.78656005859375
UGA,1997,3.209,0.0103,286.846637912964,
UGA,1998,3.424,0.0653,292.453037058835,
UGA,1999,3.46,0.106,257.921949601357,1.9514000415802
UGA,2000,3.531,0.163714063074854,258.050338731086,2.61231994628906
UGA,2001,3.522,0.237945087191408,236.021188853993,2.85116004943848
UGA,2002,3.5,0.384093504951945,241.984688408335,3.54375004768372
UGA,2003,3.6,0.464849840113968,250.71543664681,3.77904009819031
